feature	coefficient	abs_coefficient
has_Z713	-0.13206696826178752	0.13206696826178752
has_I10	-0.10283035213849005	0.10283035213849005
app_sessions_daily_avg	-0.09480886745164527	0.09480886745164527
app_sessions	-0.09480886745164523	0.09480886745164523
outreach	-0.08236190636594719	0.08236190636594719
has_E119	-0.06848493616232654	0.06848493616232654
app_web_ratio	-0.057179153629242224	0.057179153629242224
claim_recency_days	-0.04135013052937055	0.04135013052937055
web_interval_std	0.03420566394894543	0.03420566394894543
chronic_any	0.027707976083083372	0.027707976083083372
app_recency_days	0.02283798147491787	0.02283798147491787
claim_app_ratio	0.02085701937229017	0.02085701937229017
app_interval_std	-0.018800743209175106	0.018800743209175106
low_engagement_flag	0.017942740086797415	0.017942740086797415
web_recency_days	0.012067733659207564	0.012067733659207564
outreach_x_low_engagement	-0.011595074370829881	0.011595074370829881
web_visits	0.011475325136834724	0.011475325136834724
web_visits_daily_avg	0.011475325136834677	0.011475325136834677
claims_total	0.0015581168942468795	0.0015581168942468795
claim_frequency	0.001558116894246841	0.001558116894246841
